chamber,district,fullname,firstname,lastname,party,town
House,1, Rep. Deane Rykerson (D - Kittery),Deane,Rykerson,D,Kittery
House,2, Rep. Michele Meyer (D - Eliot),Michele,Meyer,D,Eliot
House,3, Rep. Lydia C. Blume (D - York),Lydia C.,Blume,D,York
House,4, Rep. Patricia Hymanson (D - York),Patricia,Hymanson,D,York
House,5, Rep. Beth A. O'Connor (R - Berwick),Beth A.,O'Connor,R,Berwick
House,6, Rep. Tiffany Roberts-Lovell (D - South Berwick),Tiffany,Roberts-Lovell,D,South Berwick
House,7, Rep. Daniel J. Hobbs (D - Wells),Daniel J.,Hobbs,D,Wells
House,8, Rep. Christopher W. Babbidge (D - Kennebunk),Christopher W.,Babbidge,D,Kennebunk
House,9, Rep. Diane M. Denk (D - Kennebunk),Diane M.,Denk,D,Kennebunk
House,10, Rep. Henry L. Ingwersen (D - Arundel),Henry L.,Ingwersen,D,Arundel
House,11, Rep. Ryan M. Fecteau (D - Biddeford ),Ryan M.,Fecteau,D,Biddeford 
House,12, Rep. Victoria Foley (D - Biddeford),Victoria,Foley,D,Biddeford
House,13, Rep. Lori K. Gramlich (D - Old Orchard Beach),Lori K.,Gramlich,D,Old Orchard Beach
House,14, Rep. Donna Bailey (D - Saco ),Donna,Bailey,D,Saco 
House,15, Rep. Margaret M. O'Neil (D - Saco),Margaret M.,O'Neil,D,Saco
House,16, Rep. Donald G. Marean (I - Hollis),Donald G.,Marean,I,Hollis
House,17, Rep. Dwayne W. Prescott (R - Waterboro),Dwayne W.,Prescott,R,Waterboro
House,18, Rep. Anne-Marie Mastraccio (D - Sanford),Anne-Marie,Mastraccio,D,Sanford
House,19, Rep. Matthew A. Harrington (R - Sanford),Matthew A.,Harrington,R,Sanford
House,20, Rep. Theodore Joseph Kryzak (R - Acton),Theodore Joseph,Kryzak,R,Acton
House,21, Rep. Heidi H. Sampson (R - Alfred),Heidi H.,Sampson,R,Alfred
House,22, Rep. Mark John Blier (R - Buxton),Mark John,Blier,R,Buxton
House,23, Rep. Lester S. Ordway (R - Standish),Lester S.,Ordway,R,Standish
House,24, Rep. Mark E. Bryant (D - Windham),Mark E.,Bryant,D,Windham
House,25, Rep. Patrick W. Corey (R - Windham),Patrick W.,Corey,R,Windham
House,26, Rep. Maureen Fitzgerald Terry (D - Gorham),Maureen Fitzgerald,Terry,D,Gorham
House,27, Rep. Andrew J. McLean (D - Gorham),Andrew J.,McLean,D,Gorham
House,28, Rep. Christopher James Caiazzo (D - Scarborough),Christopher James,Caiazzo,D,Scarborough
House,29, Rep. Shawn A. Babine (D - Scarborough),Shawn A.,Babine,D,Scarborough
House,30, Rep. Anne M. Carney (D - Cape Elizabeth),Anne M.,Carney,D,Cape Elizabeth
House,31, Rep. Lois Galgay Reckitt (D - South Portland),Lois Galgay,Reckitt,D,South Portland
House,32, Rep. Christopher J. Kessler (D - South Portland ),Christopher J.,Kessler,D,South Portland 
House,33, Rep. Victoria E. Morales (D - South Portland),Victoria E.,Morales,D,South Portland
House,34, Rep. Drew Gattine (D - Westbrook ),Drew,Gattine,D,Westbrook 
House,35, Rep. Ann E. Peoples (D - Westbrook),Ann E.,Peoples,D,Westbrook
House,36, Rep. Michael F. Brennan (D - Portland),Michael F.,Brennan,D,Portland
House,37, Rep. Richard R. Farnsworth (D - Portland),Richard R.,Farnsworth,D,Portland
House,38, Rep. Matt W. Moonen (D - Portland),Matt W.,Moonen,D,Portland
House,39, Rep. Michael A. Sylvester (D - Portland),Michael A.,Sylvester,D,Portland
House,40, Rep. Rachel Talbot Ross (D - Portland),Rachel Talbot,Ross,D,Portland
House,41, Rep. Erik C. Jorgensen (D - Portland ),Erik C.,Jorgensen,D,Portland 
House,42, Rep. Benjamin T. Collings (D - Portland),Benjamin T.,Collings,D,Portland
House,43, Rep. W. Edward Crockett (D - Portland),W. Edward,Crockett,D,Portland
House,44, Rep. Teresa S. Pierce (D - Falmouth),Teresa S.,Pierce,D,Falmouth
House,45, Rep. Dale J. Denno (D - Cumberland),Dale J.,Denno,D,Cumberland
House,46, Rep. Braden Sharpe (D - Durham),Braden,Sharpe,D,Durham
House,47, Rep. Janice E. Cooper (D - Yarmouth),Janice E.,Cooper,D,Yarmouth
House,48, Rep. Sara Gideon (D - Freeport),Sara,Gideon,D,Freeport
House,49, Rep. Matthea Elisabeth Larsen Daughtry (D - Brunswick),Matthea Elisabeth Larsen,Daughtry,D,Brunswick
House,50, Rep. Ralph L. Tucker (D - Brunswick),Ralph L.,Tucker,D,Brunswick
House,51, Rep. Joyce McCreight (D - Harpswell),Joyce,McCreight,D,Harpswell
House,52, Rep. Jennifer L. DeChant (D - Bath),Jennifer L.,DeChant,D,Bath
House,53, Rep. Allison Hepler (D - Woolwich),Allison,Hepler,D,Woolwich
House,54, Rep. Denise A. Tepler (D - Topsham),Denise A.,Tepler,D,Topsham
